"FullName","TamanhoKB","DataModificacao"
"D:\bruto\TEIA\TEIA_ATLAS\Materia_Bruta\D_Drive\TEIA\Analisados\restore.cpython-312 (2).pyc","10,6","2025-11-18 20:41"
"D:\bruto\TEIA\TEIA_ATLAS\Materia_Bruta\D_Drive\TEIA\Analisados\restore.cpython-312.pyc","0,21","2025-11-18 20:41"
"D:\bruto\TEIA\TEIA_ATLAS\Materia_Bruta\D_Drive\TEIA\Analisados\restored_payload.bin","3,15","2025-11-14 00:53"
"D:\bruto\TEIA\TEIA_ATLAS\Materia_Bruta\D_Drive\TEIA\Analisados\seed_variant1.cpython-312.pyc","10,81","2025-11-18 20:40"
"D:\bruto\TEIA\TEIA_ATLAS\Materia_Bruta\D_Drive\TEIA\Analisados\seed.cpython-312.pyc","0,21","2025-11-18 20:40"
"D:\bruto\TEIA\TEIA_ATLAS\Materia_Bruta\D_Drive\TEIA\Analisados\Tless0_restored.tiff","21,48","2025-11-19 23:43"
"D:\bruto\TEIA\TEIA_ATLAS\Materia_Bruta\D_Drive\TEIA\Analisados\Tless0.restored.tiff","21,48","2025-11-19 23:32"
"D:\bruto\TEIA\TEIA_ATLAS\Materia_Bruta\D_Drive\TEIA\Analisados\Tless0.tiff.teia3.seed","0,19","2025-11-20 16:53"
"D:\bruto\TEIA\TEIA_ATLAS\Materia_Bruta\D_Drive\TEIA\Analisados\TEIA_Hypervisor\dashboard\DTEIA_Hypervisorworkspaceinput\Tless0.restored.jpg","61,17","2025-11-20 21:05"
"D:\bruto\TEIA\TEIA_ATLAS\Materia_Bruta\D_Drive\TEIA_Data\site-packages\numpy\random\tests\__pycache__\test_seed_sequence.cpython-311.pyc","3,8","2025-11-30 09:11"
"D:\bruto\TEIA\TEIA_ATLAS\Materia_Bruta\D_Drive\TEIA_Data\site-packages\win32\Demos\__pycache__\RegRestoreKey.cpython-311.pyc","2,71","2025-11-30 09:10"
"D:\bruto\TEIA\TEIA_Data\site-packages\numpy\random\tests\test_seed_sequence.py","3,31","2025-11-30 09:10"
"D:\bruto\TEIA\TEIA_Data\site-packages\win32\Demos\RegRestoreKey.py","2,08","2025-11-30 09:10"
"D:\bruto\TEIA\TEIA_NUCLEO\offline\nano\fractal_index.json","0,32","2025-11-29 19:57"
"D:\bruto\TEIA\TEIA_NUCLEO\offline\nano\meta\teia_seed_schema.v1.json","3,1","2025-11-29 18:52"
"D:\ChatGPT_2438\Auditoria TEIA - AION-RISPA_7979fd631f21.json","2046,02","2026-03-20 19:04"
"D:\ChatGPT_2438\Diagnóstico falha geração seed_05e822bf8659.json","243,42","2026-03-20 19:04"
"D:\ChatGPT_2438\Otimização AION-RISPA-NDC_c53d86fe94a8.json","23,26","2026-03-20 19:04"
"D:\ChatGPT_2438\Ramificação · Diagnóstico falha geração seed_cb5a4eb1db5c.json","415,79","2026-03-20 19:04"
"D:\ChatGPT_Markdown\2141 - Otimização AION-RISPANDC.md","8,44","2026-03-25 19:32"
"D:\ChatGPT_Markdown\2232 - Auditoria TEIA  AION-RISPA.md","591,67","2026-03-25 19:32"
"D:\ChatGPT_Markdown\2376 - Diagnóstico falha geração seed.md","59,36","2026-03-25 19:32"
"D:\ChatGPT_Markdown\2377 - Ramificação · Diagnóstico falha geração seed.md","146,58","2026-03-25 19:32"
"D:\iCloudDrive\1-Pessoal\Felippe Pessoal\Creator\Vídeos\Editar\@IA\TEIA\Núcleo\TEIA\AION-RISPA-NDC_delta-final-alfa-omega.html","11,51","2025-10-20 19:16"
"D:\iCloudDrive\1-Pessoal\Felippe Pessoal\Creator\Vídeos\Editar\@IA\TEIA\Núcleo\TEIA\auditoria_teia_seed.py","1,83","2025-09-09 17:07"
"D:\iCloudDrive\1-Pessoal\Felippe Pessoal\Creator\Vídeos\Editar\@IA\TEIA\Núcleo\TEIA\auditoria_teia_seed.py.py","1,83","2025-09-09 17:07"
"D:\iCloudDrive\1-Pessoal\Felippe Pessoal\Creator\Vídeos\Editar\@IA\TEIA\Núcleo\TEIA\compactador_seed_teia.py","1,06","2025-09-09 17:07"
"D:\iCloudDrive\1-Pessoal\Felippe Pessoal\Creator\Vídeos\Editar\@IA\TEIA\Núcleo\TEIA\compactador_seed_teia.py.py","1,06","2025-09-09 17:07"
"D:\iCloudDrive\1-Pessoal\Felippe Pessoal\Creator\Vídeos\Editar\@IA\TEIA\Núcleo\TEIA\decode_seed.py","1,94","2025-09-09 20:52"
